Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,CONCEPTSTATUS,CTV3ID,RDF Schema Label,ISPRIMITIVE,PAR,RN,RO,Semantic_Type,SNOMEDID,SY,SYNONYM FN,SYNONYM IS,SYNONYM MTH_FN,SYNONYM MTH_PT,SYNONYM OF,SYNONYM SY,TUI,UMLS_CUI
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#91191002,Oraons,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#108342005,0,XUNWo,Oraons,1,South Asian AND/OR Australian aborigine (Id: 108342005),,,Population Group,S-66070,,Oraons (ethnic group),,,,,,T098,C0337944
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#275591005,Caribbean Island (NMO),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#270463003,0,XM1S8,Caribbean Island (NMO),1,Caribbean I./W.I./Guyana (NMO) (Id: 270463003),,Caribbean I. &/or W.I. &/or Guyana (NMO) (Id: 186008004)|Caribbean I. &/or W.I. &/or Guyana (NMO) (Id: 154185008),Population Group,F-00859,,Caribbean Island (NMO) (ethnic group),,,,,,T098,C0554958
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#186037000,Other European in New Zealand,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,9T12.,Other European in New Zealand,1,Ethnic group (Id: 372148003),,,Population Group,S-60004,Other European in New Zealand (Id: 154214005),Other European in New Zealand (ethnic group),,,,,,T098,C0438963
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#81035008,Pakistani (Urduspeakers),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#186002003,0,XULRS,Pakistani (Urduspeakers),1,Pakistani (Id: 186002003),,,Population Group,S-61260,,Pakistani (Urduspeakers) (ethnic group),,,,,,T098,C0337814
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#275596000,East African Asian (NMO),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#270465005,0,XM1SD,East African Asian (NMO),1,E Afric Asian/Indo-Carib (NMO) (Id: 270465005),,E Afric Asian &/or Indo-Carib (NMO) (Id: 186011003)|E Afric Asian &/or Indo-Carib (NMO) (Id: 154188005),Population Group,F-0085E,,East African Asian (NMO) (ethnic group),,,,,,T098,C0554963
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#270465005,E Afric Asian/Indo-Carib (NMO),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#186005001,0,XE2Ny,E Afric Asian/Indo-Carib (NMO),1,Other ethnic non-mixed (NMO) (Id: 186005001),,E Afric Asian &/or Indo-Carib (NMO) (Id: 186011003)|E Afric Asian &/or Indo-Carib (NMO) (Id: 154188005),Population Group,F-0056F,,E Afric Asian/Indo-Carib (NMO) (ethnic group),,,,,,T098,C0422791
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#63736003,Taiwanese,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#24812003,0,XUI1j,Taiwanese,1,Mongoloid (Id: 24812003),,,Population Group,S-64190,,Taiwanese (ethnic group),,,,,,T098,C1556096
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#56056003,Belgians,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUGVv,Belgians,1,Ethnic group (Id: 372148003),,,Population Group,S-61050,,Belgians (ethnic group),,,,,,T098,C0337797
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#10008004,Ewe,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18167009,0,XU01P,Ewe,1,Black African (Id: 18167009),,,Population Group,S-62070,,Ewe (ethnic group),,,,,,T098,C0337831
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#74302004,Apache,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#66920001,0,XUK7T,Apache,1,Amerind (Id: 66920001),,,Population Group,S-63030,,Apache (ethnic group),,,,,,T098,C0337855
